Partner-Nr.;Anzahl;Post-Anrede;Post-Name1;Post-Name2;Post-Straße;Post-PLZ;Post-Ort;Druck-Anrede für HG/NG;Druck-HG-Name1;Druck-HG-Name2;Druck-HG-Straße;Druck-HG-PLZ;Druck-HG-Ort;Druck-HG-Tel.;Druck-NG-Name1;Druck-NG-Name2;Druck-NG-Straße;Druck-NG-PLZ;Druck-NG-Ort;Druck-NG-Tel.
11600;100;Firma;Botanika GmbH;;Hauptstraße 21;52152;Simmerath;Fleurop-Fachgeschäft:;Botanika GmbH;;Hauptstraße 21;52152;Simmerath;02473-93 73 22;;;;;;
52200;200;Firma;Rudloff-Essel,;Bianca, Stil & Blüte Rudloff;An der Kirche 3;58256;Ennepetal;Fleurop-Fachgeschäft:;Rudloff-Essel,;Bianca, Stil & Blüte Rudloff;An der Kirche 3;58256;Ennepetal;02333-31 11;;;;;;
96300;300;Firma;Blumen am Roseneck;;Karlsbader Str. 18;14193;Berlin;Fleurop-Fachgeschäft:;Blumen am Roseneck;;Karlsbader Str. 18;14193;Berlin;030-8950 52 62;;;;;;
425800;400;Firma;Behrens,;Klaus-Dieter;Am Glockenstein 16;27777;Ganderkesee;Fleurop-Fachgeschäft:;Behrens,;Klaus-Dieter;Am Glockenstein 16;27777;Ganderkesee;04222-25 14;;;;;;
478500;500;Firma;Droste,;Martin;Bundesstr. 123;59909;Bestwig;Fleurop-Fachgeschäft:;Droste,;Martin;Bundesstr. 123;59909;Bestwig;02904-45 97;;;;;;
1603200;600;Firma;Blumenhaus Karl Maack GmbH;;Alsterdorfer Str. 573;22335;Hamburg;Fleurop-Fachgeschäft:;Blumenhaus Karl Maack GmbH;;Alsterdorfer Str. 573;22335;Hamburg;040-59 76 43;;;;;;
1971500;700;Firma;Füssl,;Markus und Dirk Kloft GbR;Volpertshäuser Str. 12;35578;Wetzlar;Fleurop-Fachgeschäft:;Füssl,;Markus und Dirk Kloft GbR;Volpertshäuser Str. 12;35578;Wetzlar;06441-712 88;;;;;;
2004300;800;Firma;Ertl-Kameter,;Marie-Luise und Johann Kameter GbR, Blumenhaus Ertl;Hauptstr. 17;82008;Unterhaching;Fleurop-Fachgeschäft:;Ertl-Kameter,;Marie-Luise und Johann Kameter GbR, Blumenhaus Ertl;Hauptstr. 17;82008;Unterhaching;089-611 34 62;;;;;;
2052500;900;Firma;Blumen Bleifuß;Inh. Marion Scholz e.K.;Moltkestr. 37;24837;Schleswig;Fleurop-Fachgeschäft:;Blumen Bleifuß;Inh. Marion Scholz e.K.;Moltkestr. 37;24837;Schleswig;04621-234 20;;;;;;
2336900;1000;Firma;Liebe,;Nicole, Das Blumenhaus;Hauptstr. 47;16547;Birkenwerder;Fleurop-Fachgeschäft:;Liebe,;Nicole, Das Blumenhaus;Hauptstr. 47;16547;Birkenwerder;03303-40 24 78;;;;;;
2373700;1100;Firma;Kabisch,;Wolfgang;Paplitzer Str. 6;12307;Berlin;Fleurop-Fachgeschäft:;Kabisch,;Wolfgang;Paplitzer Str. 6;12307;Berlin;030-744 81 83;;;;;;
2874700;1200;Firma;Fritsch,;Tanja, Floral Pavillon;Wasgensteig 30;14129;Berlin;Fleurop-Fachgeschäft:;Fritsch,;Tanja, Floral Pavillon;Wasgensteig 30;14129;Berlin;030-8207 13 98;;;;;;
