geliefert;Partner-Nr.;Anzahl;Post-Anrede;Post-Name1;Post-Name2;Post-Straße;Post-PLZ;Post-Ort;Floh;Teile;Gesamtgewicht;Aufkl. 1;Aufkl. 2;Aufkl. 3;Gew. Paket 1;Gew. Paket 2;Gew. Paket 3;;Urlaub bis;Urlaub2 bis;PaketFloh;
98;00173800;9000;Blumenhaus;AaA Altstadtblume am Alstertor,;Thorsten Lubs;Große Twiete 4-6;25499;Tangstedt bei Rellingen (Kreis Pinneberg);0001;1;230;;;;;;;110821;21.08.2011;;0001--110821;
172;00310100;6500;Blumenhaus;Blumen Damerius GmbH;;Alte Potsdamer Str. 7;10785;Berlin;0002;1;175;;;;;;;991230;;;0002--991230;
4065;08810300;5000;Blumenhaus;Aaron Blumenparadies Peter GmbH;;Rigaer Str. (EKZ Warnow-Park) 5;18107;Rostock;0003;1;140;;;;;;;991230;;;0003--991230;
606;01112500;5000;Blumenhaus;J. C. Hanisch e.K.;;Im Hauptbahnhof;60329;Frankfurt;0004;1;140;;;;;;;991230;;;0004--991230;
4967;12570500;4900;Blumenhaus;Blumen Fuchs,;Richard Fuchs;Elektrastr. 6;81925;München;0005;1;137;;;;;;;991230;;;0005--991230;
1930;03485500;4200;Blumenhaus;Blumen-Hahn;Inh. Gabriele Berger e.K.;Poelchaukamp 21;22301;Hamburg;0006;1;137;;;;;;;991230;;;0006--991230;
3694;07752300;4200;Blumenhaus;Blumen-Stede;;Bockenheimer Landstr. 1;60325;Frankfurt;0007;1;122;;;;;;;991230;;;0007--991230;
4047;08766100;4100;Blumenhaus;Chemnitzer blumenring, Einzelhandel GmbH;;Neumarkt (EKZ Roter Turm) 2;09111;Chemnitz;0008;1;120;;;;;;;991230;;;0008--991230;
1174;02057000;4100;Blumenhaus;Röder,;Johannes, Blumen-Röder-Gärtnerei;Söflinger Str. 43;89077;Ulm;0009;1;120;;;;;;;991230;;;0009--991230;
1659;02916500;4000;Blumenhaus;Nörenberg,;Willi, Floristik Creationen;Honschaftsstr. 296;51061;Köln;0010;1;118;;;;;;;991230;;;0010--991230;
200;00373000;3600;Blumenhaus;Rothe Gartenbau GmbH,;Hermann;Clayallee 282;14169;Berlin;0011;1;110;;;;;;;991230;;;0011--991230;
862;01527000;3600;Blumenhaus;CARL STANGE e.K.;;Alte Döhrener Str. 88-90;30173;Hannover;0012;1;110;;;;;;;991230;;;0012--991230;
2101;03819700;3300;Blumenhaus;Blumen Köppler e.Kfr.;Inh. Marlies Köppler;Elsa-Brändström-Str. 72;53227;Bonn;0013;1;100;;;;;;;991230;;;0013--991230;
2164;03946400;3100;Blumenhaus;Blumen von Marlene GmbH;;Hellweg 3;44787;Bochum;0014;1;96;;;;;;;991230;;;0014--991230;
3730;07856900;3100;Blumenhaus;Ambiente & Floristik Schiefer OHG;;Longericher Str. 399;50739;Köln;0015;1;96;;;;;;;991230;;;0015--991230;
2251;04110600;3000;Blumenhaus;Blumenhaus Fehrenbach GmbH,;Monika u. Eberhard Röger;Zähringerplatz 15;78464;Konstanz;0016;3;67,7;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;14,3;991230;;;0016-Pak 1/3-991230;
744;01327700;3000;Blumenhaus;Alois Brandl GmbH;;Ungererstr. 141;80805;München;0017;3;67,7;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;14,3;991230;;;0017-Pak 1/3-991230;
2415;04444400;2900;Blumenhaus;Stephan Hanisch Blumeneinzelhandel GmbH;;Willy-Brandt-Platz 5-7;04109;Leipzig;0018;3;65,6;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;12,2;991230;;;0018-Pak 1/3-991230;
5210;22308800;2900;Blumenhaus;Rosche,;Carola, Blumen & Pflanzen;Hildburghauser Str. 73;12279;Berlin;0019;3;65,6;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;12,2;991230;;;0019-Pak 1/3-991230;
2610;04829100;2900;Blumenhaus;Lüdtke,;Holger, Lieblingsblumen;Alter Markt 1;39104;Magdeburg;0020;3;65,6;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;12,2;991230;;;0020-Pak 1/3-991230;
922;01638500;2800;Blumenhaus;1896 Blumen - See - Dufour;Inh. Jochen Dufour e.Kfm.;Louisenstr. 89;61348;Bad Homburg;0021;3;63,4;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;10;991230;;;0021-Pak 1/3-991230;
636;01156000;2800;Blumenhaus;Blumen-Pleuger GmbH;;Tennenbacher Str. 51;79106;Freiburg;0022;3;63,4;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;10;991230;;;0022-Pak 1/3-991230;
1080;01894200;2800;Blumenhaus;Daecke,;Thyra, Blumen Ilona Bauer;Waldfriedhofstr. 107;81377;München;0023;3;63,4;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;10;991230;;;0023-Pak 1/3-991230;
229;00434700;2700;Blumenhaus;Blumen-Koch Berlin;Inh. Christian Koch e.K.;Westfälische Str. 38;10711;Berlin;0024;3;60,8;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;7,4;991230;;;0024-Pak 1/3-991230;
3108;06061100;2700;Blumenhaus;Blumen Jahn GmbH;;Weißer Str. 3;50996;Köln;0025;3;60,8;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;7,4;991230;;;0025-Pak 1/3-991230;
2438;04486700;2600;Blumenhaus;Finke,;Eva-Maria;Am Margaretenhof 8;19057;Schwerin;0026;3;58,7;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;5,3;991230;;;0026-Pak 1/3-991230;
1013;01786900;2600;Blumenhaus;AAA aus dem Siepen e.K.;;Oststr. 128;47057;Duisburg;0027;3;58,7;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;5,3;991230;;;0027-Pak 1/3-991230;
1702;03008800;2600;Blumenhaus;Blumen-Fischer e.K.,;Inh. Jörg und Ted Rochau;Königstr. 28;70173;Stuttgart;0028;3;58,7;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;5,3;991230;;;0028-Pak 1/3-991230;
254;00481800;2500;Blumenhaus;"FlorisTick ""Am Antonplatz""";;Berliner Allee 18;13088;Berlin;0029;3;56,5;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;3,1;991230;;;0029-Pak 1/3-991230;
1426;02477300;2500;Blumenhaus;Anthurium Blumenhaus;Neumann GmbH & Co. KG;Alexanderstr. 358-360;26127;Oldenburg;0030;3;56,5;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;3,1;991230;;;0030-Pak 1/3-991230;
1200;02094800;2500;Blumenhaus;Strotmann;Maria, Blumen für nette Leute;Heeper Str. 167;33607;Bielefeld;0031;3;56,5;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;3,1;991230;;;0031-Pak 1/3-991230;
2370;04350101;2500;Blumenhaus;Jenner,;Reiner;Willy-Brandt-Platz 5;69115;Heidelberg;0032;3;56,5;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;3,1;991230;;;0032-Pak 1/3-991230;
2582;04776900;2500;Blumenhaus;Blumenhaus Wittelsbach,;Annemarie Junghanns GMBH;Lenbachplatz 7;80333;München;0033;3;56,5;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;3,1;991230;;;0033-Pak 1/3-991230;
231;00438800;2400;Blumenhaus;Anthurium Services GmbH;;Hermsdorfer Damm 139;13467;Berlin;0034;3;54,4;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;1;991230;;;0034-Pak 1/3-991230;
1091;01911900;2400;Blumenhaus;Ernst W.H. Roeber;vorm. Herm. Dohr;Hindenburgstr. 9-11;28717;Bremen;0035;3;54,4;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;1;991230;;;0035-Pak 1/3-991230;
2764;05157500;2400;Blumenhaus;Barnert,;Ingrid, Blumen Barnert;Keferloher Str. 103;80807;München;0036;3;54,4;Pak 1/3;Pak 2/3;Pak 3/3;26,7;26,7;1;991230;;;0036-Pak 1/3-991230;
622;01139700;2300;Blumenhaus;Wolf,;Anke, Primula Florale Kunst;Frankfurter Allee 247;10365;Berlin;0037;2;52;Pak 1/2;Pak 2/2;;26,7;25,3;;991230;;;0037-Pak 1/2-991230;
3779;08078200;2300;Blumenhaus;Treptower Blumen-Handels GmbH;;Buntzelstr. 2-10;12526;Berlin;0038;2;52;Pak 1/2;Pak 2/2;;26,7;25,3;;991230;;;0038-Pak 1/2-991230;
3163;06226900;2300;Blumenhaus;Absolut Floristik;Inhaber Britta Meyer e.K.;Fuhlsbüttler Str. 172;22305;Hamburg;0039;2;52;Pak 1/2;Pak 2/2;;26,7;25,3;;991230;;;0039-Pak 1/2-991230;
2719;05052800;2300;Blumenhaus;Kersting,;Ute, BlumenCompany;Lindemannstr. 51;44137;Dortmund;0040;2;52;Pak 1/2;Pak 2/2;;26,7;25,3;;991230;;;0040-Pak 1/2-991230;
848;01499000;2300;Blumenhaus;Blumen Schmohr GmbH & Co. KG;;Willy-Brandt-Platz 9;59065;Hamm;0041;2;52;Pak 1/2;Pak 2/2;;26,7;25,3;;991230;;;0041-Pak 1/2-991230;
5188;21938600;2300;Blumenhaus;Bauer,;Sonja, Blumen Simon;Friedhofstr. 1;87527;Sonthofen;0042;2;52;Pak 1/2;Pak 2/2;;26,7;25,3;;991230;;;0042-Pak 1/2-991230;
417;00768600;2200;Blumenhaus;Blumen Eicks OHG;;Sand 19;21073;Hamburg;0043;2;49,9;Pak 1/2;Pak 2/2;;26,7;23,2;;991230;;;0043-Pak 1/2-991230;
4726;11792400;2200;Blumenhaus;Lennartz,;Heinz-Jürgen;Warendorfer Str. 125;48145;Münster;0044;2;49,9;Pak 1/2;Pak 2/2;;26,7;23,2;;991230;;;0044-Pak 1/2-991230;
2980;05701600;2200;Blumenhaus;Blumen Klaus Pitschak GmbH;;Trankgasse 11;50667;Köln;0045;2;49,9;Pak 1/2;Pak 2/2;;26,7;23,2;;991230;;;0045-Pak 1/2-991230;
4591;11334100;2200;Blumenhaus;Blumenstudio Wenk OHG,;Inh. Harald und Christian Wenk;Hintere Bleiche 32;55116;Mainz;0046;2;49,9;Pak 1/2;Pak 2/2;;26,7;23,2;;991230;;;0046-Pak 1/2-991230;
1469;02541000;2200;Blumenhaus;Blumen Bauriedl GmbH;;Helene-Mayer-Ring 19;80809;München;0047;2;49,9;Pak 1/2;Pak 2/2;;26,7;23,2;;991230;;;0047-Pak 1/2-991230;
4547;11214700;2200;Blumenhaus;Flaschka,;Annabella;Brückenstr. 8;86153;Augsburg;0048;2;49,9;Pak 1/2;Pak 2/2;;26,7;23,2;;991230;;;0048-Pak 1/2-991230;
1401;02435000;2200;Blumenhaus;Blumen Kuhn Floraldesign GmbH;im Zentrum;Vordere Sterngasse 13;90402;Nürnberg;0049;2;49,9;Pak 1/2;Pak 2/2;;26,7;23,2;;991230;;;0049-Pak 1/2-991230;
872;01550100;2100;Blumenhaus;Atelier Florist Menck,;Inh. Klaus Menck;Hölertwiete 8;21073;Hamburg;0050;2;47,6;Pak 1/2;Pak 2/2;;26,7;20,9;;991230;;;0050-Pak 1/2-991230;
4892;12360801;2100;Blumenhaus;Gärtnerei Martens Blumen und;Pflanzenhandelsgesellschaft mbH;Möllner Str. 22 b;21514;Büchen;0051;2;47,6;Pak 1/2;Pak 2/2;;26,7;20,9;;991230;;;0051-Pak 1/2-991230;
2015;03647900;2100;Blumenhaus;Blumen Mardt,;Inh. Heinz-Hermann Mardt;Kunaustr. 11 c;22393;Hamburg;0052;2;47,6;Pak 1/2;Pak 2/2;;26,7;20,9;;991230;;;0052-Pak 1/2-991230;
4271;09230800;2100;Blumenhaus;Lüdemann Pflanzen und Floristik GmbH;;Ulzburger Str. 443;22846;Norderstedt;0053;2;47,6;Pak 1/2;Pak 2/2;;26,7;20,9;;991230;;;0053-Pak 1/2-991230;
1330;02326700;2100;Blumenhaus;Blumen ENK Thomas Dietz;;Heinrich-Heine-Allee 51;40213;Düsseldorf;0054;2;47,6;Pak 1/2;Pak 2/2;;26,7;20,9;;991230;;;0054-Pak 1/2-991230;
2692;04997000;2100;Blumenhaus;Dreyer,;Elisabeth, Blumenhaus Dreyer;Boeselager Str. 20;48163;Münster;0055;2;47,6;Pak 1/2;Pak 2/2;;26,7;20,9;;991230;;;0055-Pak 1/2-991230;
2656;04935100;2100;Blumenhaus;Graf,;Neil + Nadine und Frank Müller, Blumen-Graf;Ziegelsteinstr. 156;90411;Nürnberg;0056;2;47,6;Pak 1/2;Pak 2/2;;26,7;20,9;;991230;;;0056-Pak 1/2-991230;
3797;08118800;2000;Blumenhaus;Blumen-Trache,;Floristmeisterbetrieb e.K.;Leipziger Str. 162;01127;Dresden;0057;2;45,4;Pak 1/2;Pak 2/2;;26,7;18,7;;991230;;;0057-Pak 1/2-991230;
2814;05264700;2000;Blumenhaus;1 A Blumen-Mende,;Inh. Thomas Mende e.K.;Markelstr. 23;12163;Berlin;0058;2;45,4;Pak 1/2;Pak 2/2;;26,7;18,7;;991230;;;0058-Pak 1/2-991230;
617;01132000;2000;Blumenhaus;Becker-Weigand,;Emmy, Floristik & Dekoration;Georg-Hermann-Allee 13;14469;Potsdam;0059;2;45,4;Pak 1/2;Pak 2/2;;26,7;18,7;;991230;;;0059-Pak 1/2-991230;
2003;03613700;2000;Blumenhaus;Endert,;Kati, Rosen und Dornen;Neue Strandstr. 17;17454;Zinnowitz;0060;2;45,4;Pak 1/2;Pak 2/2;;26,7;18,7;;991230;;;0060-Pak 1/2-991230;
590;01072900;2000;Blumenhaus;Oeding,;Uwe;Kaltenweide 15-17;25335;Elmshorn;0061;2;45,4;Pak 1/2;Pak 2/2;;26,7;18,7;;991230;;;0061-Pak 1/2-991230;
297;00570400;2000;Blumenhaus;aus Lust an Blumen e.K.;;Prinzeß-Luise-Str. 40-42;45479;Mülheim;0062;2;45,4;Pak 1/2;Pak 2/2;;26,7;18,7;;991230;;;0062-Pak 1/2-991230;
770;01380600;2000;Blumenhaus;Heusgen & Rousselange -;Haus der Blumen OHG;Friedrichstr. 64;53111;Bonn;0063;2;45,4;Pak 1/2;Pak 2/2;;26,7;18,7;;991230;;;0063-Pak 1/2-991230;
2552;04709300;2000;Blumenhaus;Düren,;Anne, Blumen und mehr ...;Rochusstr. 125;53123;Bonn;0064;2;45,4;Pak 1/2;Pak 2/2;;26,7;18,7;;110821;21.08.2011;;0064-Pak 1/2-110821;
647;01175400;2000;Blumenhaus;Wolf,;Andre, Blumen- und Gartencenter Wolf;Heidemannstr. 8;80939;München;0065;2;45,4;Pak 1/2;Pak 2/2;;26,7;18,7;;991230;;;0065-Pak 1/2-991230;
4434;10008500;2000;Blumenhaus;Blumen Müller,;Inh. Rudolf Müller e.K.;Fritz-Baer-Str. 16;81476;München;0066;2;45,4;Pak 1/2;Pak 2/2;;26,7;18,7;;991230;;;0066-Pak 1/2-991230;
996;01756100;2000;Blumenhaus;Dodel,;Franz, Blumen Dodel;Ehinger Str. 14;88471;Laupheim;0067;2;45,4;Pak 1/2;Pak 2/2;;26,7;18,7;;991230;;;0067-Pak 1/2-991230;
1755;03129700;2000;Blumenhaus;Blumen Karl Rühle,;Inh. Marco Köhler e.K.;Sterngasse 13;89073;Ulm;0068;2;45,4;Pak 1/2;Pak 2/2;;26,7;18,7;;991230;;;0068-Pak 1/2-991230;
51;00087400;1900;Blumenhaus;Kaselitz,;Kerstin, Cityflorist Thomas Kaselitz;Löbdergraben 8a;07743;Jena;0069;2;43,4;Pak 1/2;Pak 2/2;;26,7;16,7;;110810;10.08.2011;;0069-Pak 1/2-110810;
149;00258900;1900;Blumenhaus;Flöter,;Karsten, flower factory;Levetzowstr. 20;10555;Berlin;0070;2;43,4;Pak 1/2;Pak 2/2;;26,7;16,7;;991230;;;0070-Pak 1/2-991230;
4027;08718900;1900;Blumenhaus;Sundflor GmbH;;Hans-Fallada-Str. 1 J;18435;Stralsund;0071;2;43,4;Pak 1/2;Pak 2/2;;26,7;16,7;;991230;;;0071-Pak 1/2-991230;
4521;11121900;1900;Blumenhaus;00 1 A Alster-Floristik;Joachim Naegele e.K.;Bellealliancestr. 72;20259;Hamburg;0072;2;43,4;Pak 1/2;Pak 2/2;;26,7;16,7;;991230;;;0072-Pak 1/2-991230;
993;01753800;1900;Blumenhaus;Pitschak;Marika, Floraldesign;Lichtstr. 43f;50825;Köln;0073;2;43,4;Pak 1/2;Pak 2/2;;26,7;16,7;;991230;;;0073-Pak 1/2-991230;
769;01379200;1900;Blumenhaus;Blumen Bruno Mankopf;An der Stadthalle u.Am Markt;Wasserloses Tal 19-23;58093;Hagen;0074;2;43,4;Pak 1/2;Pak 2/2;;26,7;16,7;;991230;;;0074-Pak 1/2-991230;
977;01721800;1900;Blumenhaus;Blumen Beetz;Filz und Hartmann-Gress KG;Bahnhofplatz 8;76137;Karlsruhe;0075;2;43,4;Pak 1/2;Pak 2/2;;26,7;16,7;;991230;;;0075-Pak 1/2-991230;
751;01338000;1900;Blumenhaus;Kargl,;Andreas, Blumen Kargl;Bergsonstr. 41;81245;München;0076;2;43,4;Pak 1/2;Pak 2/2;;26,7;16,7;;991230;;;0076-Pak 1/2-991230;
1042;01832300;1900;Blumenhaus;Kaufmann,;Raphaela, Blumenhaus Viola;Würmtalstr. 102;81375;München;0077;2;43,4;Pak 1/2;Pak 2/2;;26,7;16,7;;991230;;;0077-Pak 1/2-991230;
685;01238800;1900;Blumenhaus;Wassermann,;Heide, Wassermann Floristik;Martinsbühler Str. 8;91054;Erlangen;0078;2;43,4;Pak 1/2;Pak 2/2;;26,7;16,7;;991230;;;0078-Pak 1/2-991230;
2494;04599400;1900;Blumenhaus;Wurster,;Stephanie, Blumen Zaak;Obere Marktstr. 10;97688;Bad Kissingen;0079;2;43,4;Pak 1/2;Pak 2/2;;26,7;16,7;;991230;;;0079-Pak 1/2-991230;
3798;08120300;1900;Blumenhaus;Floristik Jacob GmbH;;Friedensstr. 1;99423;Weimar;0080;2;43,4;Pak 1/2;Pak 2/2;;26,7;16,7;;991230;;;0080-Pak 1/2-991230;
3815;08160400;1800;Blumenhaus;Blumen Mende GmbH;;Hüblerstr. 4;01309;Dresden;0081;2;41;Pak 1/2;Pak 2/2;;26,7;14,3;;991230;;;0081-Pak 1/2-991230;
189;00352400;1800;Blumenhaus;Schellig,;Sieglinde, Kornblume;Luisenstr. 48;10117;Berlin;0082;2;41;Pak 1/2;Pak 2/2;;26,7;14,3;;991230;;;0082-Pak 1/2-991230;
3809;08146400;1800;Blumenhaus;Bade,;Ingrid, Blumen- und Geschenkehaus;Am Markt 6;18209;Bad Doberan;0083;2;41;Pak 1/2;Pak 2/2;;26,7;14,3;;991230;;;0083-Pak 1/2-991230;
62;00104800;1800;Blumenhaus;Blumen Insel Stefan Wilke;;Paulstr. 1;25980;Sylt-Westerland;0084;2;41;Pak 1/2;Pak 2/2;;26,7;14,3;;991230;;;0084-Pak 1/2-991230;
2873;05423900;1800;Blumenhaus;blumen Ekkehard Lange,;Inh. B. Pappert;Schwachhauser Heerstr. 71-73;28211;Bremen;0085;2;41;Pak 1/2;Pak 2/2;;26,7;14,3;;991230;;;0085-Pak 1/2-991230;
3898;08336500;1800;Blumenhaus;Rhode,;Margret, Blumen-Rhode;Am Bahnhofsvorplatz 1;39576;Stendal;0086;2;41;Pak 1/2;Pak 2/2;;26,7;14,3;;991230;;;0086-Pak 1/2-991230;
774;01385100;1800;Blumenhaus;Stoffel,;Martin, Blumen Uhl;Mengenicher Str. 26;50767;Köln;0087;2;41;Pak 1/2;Pak 2/2;;26,7;14,3;;991230;;;0087-Pak 1/2-991230;
3122;06092000;1800;Blumenhaus;Odenthal,;Hans-Jürgen, Blumen Odenthal;Am Friedhof 2;53842;Troisdorf;0088;2;41;Pak 1/2;Pak 2/2;;26,7;14,3;;991230;;;0088-Pak 1/2-991230;
1494;02595800;1800;Blumenhaus;Blumen Speth GmbH;;Prüfeninger Str. 70;93049;Regensburg;0089;2;41;Pak 1/2;Pak 2/2;;26,7;14,3;;991230;;;0089-Pak 1/2-991230;
1050;01844800;1700;Blumenhaus;florizz GmbH & Co. KG;;Helmholtzstr. 2;01069;Dresden;0090;2;38,9;Pak 1/2;Pak 2/2;;26,7;12,2;;991230;;;0090-Pak 1/2-991230;
2258;04127600;1700;Blumenhaus;Koehler Florist im Sophienhof GmbH;;Sophienblatt 20;24103;Kiel;0091;2;38,9;Pak 1/2;Pak 2/2;;26,7;12,2;;991230;;;0091-Pak 1/2-991230;
4806;12083800;1700;Blumenhaus;Borsum,;Annette, ab Floristwerkstätte;Parkstr. 14;33332;Gütersloh;0092;2;38,9;Pak 1/2;Pak 2/2;;26,7;12,2;;991230;;;0092-Pak 1/2-991230;
726;01300400;1700;Blumenhaus;Blumen-Roth,;Inh. Herbert Roth;Jüdenstr. 8-9;37073;Göttingen;0093;2;38,9;Pak 1/2;Pak 2/2;;26,7;12,2;;991230;;;0093-Pak 1/2-991230;
311;00599300;1700;Blumenhaus;H. Gundlach Blumen Groß- &;Einzelhandel Michael Gundlach e.K.;Wabestr. 11A;38106;Braunschweig;0094;2;38,9;Pak 1/2;Pak 2/2;;26,7;12,2;;991230;;;0094-Pak 1/2-991230;
5260;22958000;1700;Blumenhaus;Floristik und Service Studio F.U.S.S.;Blumenhaus GmbH & Co.KG;Oststr. 61;40210;Düsseldorf;0095;2;38,9;Pak 1/2;Pak 2/2;;26,7;12,2;;991230;;;0095-Pak 1/2-991230;
419;00771900;1700;Blumenhaus;Blumen Quellenberg;Inh. F. W. Quellenberg e.K. Nachf. Khan-Quellenberg;Schattweg 40;59174;Kamen;0096;2;38,9;Pak 1/2;Pak 2/2;;26,7;12,2;;991230;;;0096-Pak 1/2-991230;
4947;12524800;1700;Blumenhaus;AAA-Floristik Blumen-Jaeger;Inh. Karin Jaeger;Friedhofsweg 9;61267;Neu-Anspach;0097;2;38,9;Pak 1/2;Pak 2/2;;26,7;12,2;;991230;;;0097-Pak 1/2-991230;
1421;02468200;1700;Blumenhaus;Blumen-Schweiger,;Inh. Inge Killius-Schweiger;Hauptstr. 59;77652;Offenburg;0098;2;38,9;Pak 1/2;Pak 2/2;;26,7;12,2;;991230;;;0098-Pak 1/2-991230;
3742;07883400;1700;Blumenhaus;Strohmayer,;Marianne, Blumen Strohmayer;Friedhofstr. 10;79379;Müllheim;0099;2;38,9;Pak 1/2;Pak 2/2;;26,7;12,2;;991230;;;0099-Pak 1/2-991230;
3578;07407900;1700;Blumenhaus;AH Blumen und mehr;Angelika Heindl;Wotanstr. 103;80639;München;0100;2;38,9;Pak 1/2;Pak 2/2;;26,7;12,2;;991230;;;0100-Pak 1/2-991230;
