geliefert;Partner-Nr.;Anzahl;Post-Anrede;Post-Name1;Post-Name2;Post-Straße;Post-PLZ;Post-Ort;Floh;Teile;Aufkl. 1;Gew. Paket 1;FLOH_Druck
2251;04110600;3000;Blumenhaus;Blumenhaus Fehrenbach GmbH,;Monika u. Eberhard Röger;Zähringerplatz 15;78464;Konstanz;0016;1;Pak 1/3;26,7;0016-Pak 1/3
2251;04110600;3000;Blumenhaus;Blumenhaus Fehrenbach GmbH,;Monika u. Eberhard Röger;Zähringerplatz 15;78464;Konstanz;0016;1;Pak 2/3;26,7;0016-Pak 2/3
2251;04110600;3000;Blumenhaus;Blumenhaus Fehrenbach GmbH,;Monika u. Eberhard Röger;Zähringerplatz 15;78464;Konstanz;0016;1;Pak 3/3;14,3;0016-Pak 3/3
744;01327700;3000;Blumenhaus;Alois Brandl GmbH;;Ungererstr. 141;80805;München;0017;1;Pak 1/3;26,7;0017-Pak 1/3
744;01327700;3000;Blumenhaus;Alois Brandl GmbH;;Ungererstr. 141;80805;München;0017;1;Pak 2/3;26,7;0017-Pak 2/3
744;01327700;3000;Blumenhaus;Alois Brandl GmbH;;Ungererstr. 141;80805;München;0017;1;Pak 3/3;14,3;0017-Pak 3/3
2415;04444400;2900;Blumenhaus;Stephan Hanisch Blumeneinzelhandel GmbH;;Willy-Brandt-Platz 5-7;04109;Leipzig;0018;1;Pak 1/3;26,7;0018-Pak 1/3
2415;04444400;2900;Blumenhaus;Stephan Hanisch Blumeneinzelhandel GmbH;;Willy-Brandt-Platz 5-7;04109;Leipzig;0018;1;Pak 2/3;26,7;0018-Pak 2/3
2415;04444400;2900;Blumenhaus;Stephan Hanisch Blumeneinzelhandel GmbH;;Willy-Brandt-Platz 5-7;04109;Leipzig;0018;1;Pak 3/3;12,2;0018-Pak 3/3
5210;22308800;2900;Blumenhaus;Rosche,;Carola, Blumen & Pflanzen;Hildburghauser Str. 73;12279;Berlin;0019;1;Pak 1/3;26,7;0019-Pak 1/3
5210;22308800;2900;Blumenhaus;Rosche,;Carola, Blumen & Pflanzen;Hildburghauser Str. 73;12279;Berlin;0019;1;Pak 2/3;26,7;0019-Pak 2/3
5210;22308800;2900;Blumenhaus;Rosche,;Carola, Blumen & Pflanzen;Hildburghauser Str. 73;12279;Berlin;0019;1;Pak 3/3;12,2;0019-Pak 3/3
2610;04829100;2900;Blumenhaus;Lüdtke,;Holger, Lieblingsblumen;Alter Markt 1;39104;Magdeburg;0020;1;Pak 1/3;26,7;0020-Pak 1/3
2610;04829100;2900;Blumenhaus;Lüdtke,;Holger, Lieblingsblumen;Alter Markt 1;39104;Magdeburg;0020;1;Pak 2/3;26,7;0020-Pak 2/3
2610;04829100;2900;Blumenhaus;Lüdtke,;Holger, Lieblingsblumen;Alter Markt 1;39104;Magdeburg;0020;1;Pak 3/3;12,2;0020-Pak 3/3
