geliefert;Partner-Nr.;Anzahl;Post-Anrede;Post-Name1;Post-Name2;Post-Straße;Post-PLZ;Post-Ort;Floh;Teile;Aufkl. 1;Gew. Paket 1;FLOH_Druck;Aufkl. 2;Aufkl. 3;Gew. Paket 2;Gew. Paket 3;Gesamtgewicht;Verketten
51;00087400;1900;Blumenhaus;Kaselitz,;Kerstin, Cityflorist Thomas Kaselitz;Löbdergraben 8a;07743;Jena;0069;1;Pak 1/2;26,7;0069-Pak 1/2;Pak 2/2;;16,7;;43,4;0069-Pak 1/2
51;00087400;1900;Blumenhaus;Kaselitz,;Kerstin, Cityflorist Thomas Kaselitz;Löbdergraben 8a;07743;Jena;0069;1;Pak 2/2;16,7;0069-Pak 2/2;;;;;;0069-Pak 2/2
149;00258900;1900;Blumenhaus;Flöter,;Karsten, flower factory;Levetzowstr. 20;10555;Berlin;0070;1;Pak 1/2;26,7;0070-Pak 1/2;Pak 2/2;;16,7;;43,4;0070-Pak 1/2
149;00258900;1900;Blumenhaus;Flöter,;Karsten, flower factory;Levetzowstr. 20;10555;Berlin;0070;1;Pak 2/2;16,7;0070-Pak 2/2;;;;;;0070-Pak 2/2
4027;08718900;1900;Blumenhaus;Sundflor GmbH;;Hans-Fallada-Str. 1 J;18435;Stralsund;0071;1;Pak 1/2;26,7;0071-Pak 1/2;Pak 2/2;;16,7;;43,4;0071-Pak 1/2
4027;08718900;1900;Blumenhaus;Sundflor GmbH;;Hans-Fallada-Str. 1 J;18435;Stralsund;0071;1;Pak 2/2;16,7;0071-Pak 2/2;;;;;;0071-Pak 2/2
4521;11121900;1900;Blumenhaus;00 1 A Alster-Floristik;Joachim Naegele e.K.;Bellealliancestr. 72;20259;Hamburg;0072;1;Pak 1/2;26,7;0072-Pak 1/2;Pak 2/2;;16,7;;43,4;0072-Pak 1/2
4521;11121900;1900;Blumenhaus;00 1 A Alster-Floristik;Joachim Naegele e.K.;Bellealliancestr. 72;20259;Hamburg;0072;1;Pak 2/2;16,7;0072-Pak 2/2;;;;;;0072-Pak 2/2
993;01753800;1900;Blumenhaus;Pitschak;Marika, Floraldesign;Lichtstr. 43f;50825;Köln;0073;1;Pak 1/2;26,7;0073-Pak 1/2;Pak 2/2;;16,7;;43,4;0073-Pak 1/2
993;01753800;1900;Blumenhaus;Pitschak;Marika, Floraldesign;Lichtstr. 43f;50825;Köln;0073;1;Pak 2/2;16,7;0073-Pak 2/2;;;;;;0073-Pak 2/2
769;01379200;1900;Blumenhaus;Blumen Bruno Mankopf;An der Stadthalle u.Am Markt;Wasserloses Tal 19-23;58093;Hagen;0074;1;Pak 1/2;26,7;0074-Pak 1/2;Pak 2/2;;16,7;;43,4;0074-Pak 1/2
769;01379200;1900;Blumenhaus;Blumen Bruno Mankopf;An der Stadthalle u.Am Markt;Wasserloses Tal 19-23;58093;Hagen;0074;1;Pak 2/2;16,7;0074-Pak 2/2;;;;;;0074-Pak 2/2
977;01721800;1900;Blumenhaus;Blumen Beetz;Filz und Hartmann-Gress KG;Bahnhofplatz 8;76137;Karlsruhe;0075;1;Pak 1/2;26,7;0075-Pak 1/2;Pak 2/2;;16,7;;43,4;0075-Pak 1/2
