Partner-Nr.;Anzahl;Post-Anrede;Post-Name1;Post-Name2;Post-Straße;Post-PLZ;Post-Ort;Druck-Anrede für HG/NG;Druck-HG-Name1;Druck-HG-Name2;Druck-HG-Straße;Druck-HG-PLZ;Druck-HG-Ort;Druck-HG-Tel.;Druck-NG-Name1;Druck-NG-Name2;Druck-NG-Straße;Druck-NG-PLZ;Druck-NG-Ort;Druck-NG-Tel.
4672300;100;Firma;Rocznik,;Anna, Blumenstudio;Fürther Str. 11;90429;Nürnberg;Fleurop-Fachgeschäft:;Rocznik,;Anna, Blumenstudio;Fürther Str. 11;90429;Nürnberg;0911-9286 82 40;Rocznik,;Anna, Blumenstudio;Rothenburger Str. 144;90439;Nürnberg;0911 - 965 289 63
5482400;100;Firma;Haid,;Elisabeth, vorm. Baur;Römerstr. 18;86405;Meitingen;Fleurop-Fachgeschäft:;Haid,;Elisabeth, vorm. Baur;Römerstr. 18;86405;Meitingen;08271-25 24;;;;;;
11617300;300;Firma;Aigner,;Helmut;Marktplatz 35;84323;Massing;Fleurop-Fachgeschäft:;Aigner,;Helmut;Marktplatz 35;84323;Massing;08724-17 58;;;;;;
20235900;100;Firma;Zander,;Heinrich-Peter;Bachstr. 78;53639;Königswinter;Fleurop-Fachgeschäft:;Zander,;Heinrich-Peter;Bachstr. 78;53639;Königswinter;02223-223 41;;;;;;
20906700;100;Firma;van Doorne,;Cornelia;Aachener Str. 495;50933;Köln;Fleurop-Fachgeschäft:;van Doorne,;Cornelia;Aachener Str. 495;50933;Köln;0221-40 91 73;van Doorne,;Cornelia;Venloer Str. 87;50259;Pulheim;02238-84 12 68
25750400;100;Firma;Tiedemann,;Heidi, Heidi's Blumendiele;Lange Str. 108;19230;Hagenow;Fleurop-Fachgeschäft:;Tiedemann,;Heidi, Heidi's Blumendiele;Lange Str. 108;19230;Hagenow;03883-72 83 90;;;;;;
3138800;100;Firma;Ho,;Thanh-Hai, Blumen Florentine;Leipziger Str. 51;10117;Berlin;Fleurop-Fachgeschäft:;Ho,;Thanh-Hai, Blumen Florentine;Leipziger Str. 51;10117;Berlin;030-2464 743 934;;;;;;
5846400;100;Firma;Bienhaus;Horst & Susanne Seubert GbR, Der Blumenladen;Fritz-Henkel-Str. 3;35216;Biedenkopf-Wallau;Fleurop-Fachgeschäft:;Bienhaus;Horst & Susanne Seubert GbR, Der Blumenladen;Fritz-Henkel-Str. 3;35216;Biedenkopf-Wallau;06461-758 73 66;;;;;;
5443400;100;Firma;Popella,;Michael, Blumen Popella;Römerstr. 100;47179;Duisburg;Fleurop-Fachgeschäft:;Popella,;Michael, Blumen Popella;Römerstr. 100;47179;Duisburg;0203-986 293 26;;;;;;
5665500;100;Firma;Burghartswieser,;Christian, Blumen und Geschenke, Habe die Ehre;Bahnhofstr. 5;83324;Ruhpolding;Fleurop-Fachgeschäft:;Burghartswieser,;Christian, Blumen und Geschenke, Habe die Ehre;Bahnhofstr. 5;83324;Ruhpolding;08663-18 78;;;;;;
